title,property,value
Greater Yellowlegs,Has WAP15 ID,ncwap15-spp-greater-yellowlegs
Greater Yellowlegs,Is NC Present,NC
Greater Yellowlegs,Is WAP Knowledge Concern,true
Greater Yellowlegs,Present Wintering,true
Greater Yellowlegs,Was WAP Evaluated,true
Greater Yellowlegs,Has Habitat,Estuarine Aquatic Communities
Greater Yellowlegs,Has Habitat,Large River Systems
Greater Yellowlegs,Has Habitat,Medium River Systems
Greater Yellowlegs,Has Habitat,Natural Lakes
Greater Yellowlegs,Has Habitat,Reservoirs and Impoundments
Great Horned Owl,Has AOS4 Code,GHOW
Great Horned Owl,Has AOS59 Code,845
Great Horned Owl,Has AOS6 Code,BUBVIR
Great Horned Owl,Has AOS60 Code,681
Great Horned Owl,Has Avibase Code,34D6EE78CA7AE050
Great Horned Owl,Has Common Name,Great Horned Owl
Great Horned Owl,Has eBird Code,grhowl
Great Horned Owl,Has Family,Strigidae
Great Horned Owl,Has Genus,Bubo
Great Horned Owl,Has Habitat,High Elevation Cliffs and Rock Outcrops
Great Horned Owl,Has Habitat,Montane Oak Forests
Great Horned Owl,Has Habitat,Successional Communities
Great Horned Owl,Has Habitat,Successional Communities
Great Horned Owl,Has Habitat,Dry Coniferous Woodlands
Great Horned Owl,Has Habitat,Oak and Mixed Hardwood/Pine Forests and Managed Timber
Great Horned Owl,Has Order,Strigiformes
Great Horned Owl,Has PIF Pop Est,3784896
Great Horned Owl,Has Plan,Improving Habitat For Forest Thrushes 2003
Great Horned Owl,Has Plan,Partners In Flight Landbird Conservation Plan 2016
Great Horned Owl,Has Plan,Piping Plover 5 Year Review 2020
Great Horned Owl,Has Plan,Status Review And Conservation Recommendations For The Gull-Billed Tern In North America 2010
Great Horned Owl,Has Scientific Name,Bubo virginianus
Great Horned Owl,Has Species Taxonomy,virginianus
Great Horned Owl,Has WAP15 ID,ncwap15-spp-great-horned-owl
Great Horned Owl,Is NC Present,NC
Great Horned Owl,Present Breeding,true
Great Horned Owl,Present Wintering,true
Great Horned Owl,Was WAP Evaluated,true
Green Heron,Has AOS4 Code,GRHE
Green Heron,Has AOS59 Code,750
Green Heron,Has AOS6 Code,BUTVIR
Green Heron,Has AOS60 Code,238
Green Heron,Has Avibase Code,86D45B8F04F61F0E
Green Heron,Has Common Name,Green Heron
Green Heron,Has eBird Code,grnher
Green Heron,Has Family,Ardeidae
Green Heron,Has Genus,Butorides
Green Heron,Has Habitat,Floodplains-Blackwater Systems
Green Heron,Has Habitat,Floodplains-Brownwater Systems
Green Heron,Has Habitat,Freshwater Tidal Wetlands
Green Heron,Has Habitat,Maritime Forests
Green Heron,Has Habitat,Nonalluvial Mineral Wetlands
Green Heron,Has Habitat,Nonalluvial Mineral Wetlands
Green Heron,Has Habitat,Successional Communities
Green Heron,Has Habitat,Wet Pine Savannas
Green Heron,Has Habitat,Upland Pools and Depressions
Green Heron,Has Order,Pelecaniformes
Green Heron,Has PIF Pop Est,772671
Green Heron,Has Plan,North American Waterbird Conservation Plan 2002
Green Heron,Has Plan,South Atlantic Migratory Bird Initiative Implementation Plan 2008
Green Heron,Has Scientific Name,Butorides virescens
Green Heron,Has Species Taxonomy,virescens
Green Heron,Has WAP15 ID,ncwap15-spp-green-heron
Green Heron,Is NC Present,NC
Green Heron,Is WAP Knowledge Concern,true
Green Heron,Present Breeding,true
Green Heron,Was WAP Evaluated,true
Green Heron,Has Habitat,Large River Systems
Green Heron,Has Habitat,Medium River Systems
Green Heron,Has Habitat,Natural Lakes
Green Heron,Has Habitat,Reservoirs and Impoundments
Green Heron,Has Habitat,Small River Systems/Large Creeks
Green-winged Teal,Has AOS4 Code,GWTE
Green-winged Teal,Has AOS59 Code,53
Green-winged Teal,Has AOS6 Code,ANACRE
Green-winged Teal,Has AOS60 Code,49
Green-winged Teal,Has Avibase Code,BC6C3CCE5C1B5D9B
Green-winged Teal,Has Common Name,Green-winged Teal
Green-winged Teal,Has eBird Code,gnwtea
Green-winged Teal,Has Family,Anatidae
Green-winged Teal,Has Genus,Anas
Green-winged Teal,Has Habitat,Estuarine Wetland Communities
Green-winged Teal,Has Habitat,Freshwater Tidal Wetlands
Green-winged Teal,Has Habitat,Pocosins
Green-winged Teal,Has Habitat,Nonalluvial Mineral Wetlands
Green-winged Teal,Has Order,Anseriformes
Green-winged Teal,Has PIF Pop Est,3929100
Green-winged Teal,Has Plan,North American Waterfowl Management Plan 2018
Green-winged Teal,Has Plan,South Atlantic Migratory Bird Initiative Implementation Plan 2008
Green-winged Teal,Has Scientific Name,Anas crecca
Green-winged Teal,Has Species Taxonomy,crecca
Green-winged Teal,Has WAP15 ID,ncwap15-spp-green-winged-teal
Green-winged Teal,Is NC Present,NC
Green-winged Teal,Is WAP Management Concern,true
Green-winged Teal,Present Wintering,true
Green-winged Teal,Was WAP Evaluated,true
Green-winged Teal,Has Habitat,Estuarine Aquatic Communities
Green-winged Teal,Has Habitat,Large River Systems
Green-winged Teal,Has Habitat,Medium River Systems
Green-winged Teal,Has Habitat,Natural Lakes
Green-winged Teal,Has Habitat,Reservoirs and Impoundments
Green-winged Teal,Has Habitat,Small River Systems/Large Creeks
Green-winged Teal,Has Habitat,Stream Swamps
Gull-billed Tern,Has AOS4 Code,GBTE
Gull-billed Tern,Has AOS59 Code,607
Gull-billed Tern,Has AOS6 Code,GELNIL
Gull-billed Tern,Has AOS60 Code,494
Gull-billed Tern,Has Avibase Code,441918B5AE353C3B
Gull-billed Tern,Has Common Name,Gull-billed Tern
Gull-billed Tern,Has eBird Code,gubter1
Gull-billed Tern,Has Family,Laridae
Gull-billed Tern,Has Genus,Gelochelidon
Gull-billed Tern,Has Habitat,Estuarine Wetland Communities
Gull-billed Tern,Has Habitat,Maritime Grasslands
Gull-billed Tern,Has Habitat,"Sand, Shell, and Wrack Active Shoreline"
Gull-billed Tern,Has Order,Charadriiformes
Gull-billed Tern,Has PIF Pop Est,8000
Gull-billed Tern,Has Plan,North American Waterbird Conservation Plan 2002
Gull-billed Tern,Has Plan,South Atlantic Migratory Bird Initiative Implementation Plan 2008
Gull-billed Tern,Has Plan,Status Review And Conservation Recommendations For The Gull-Billed Tern In North America 2010
Gull-billed Tern,Has Scientific Name,Gelochelidon nilotica
Gull-billed Tern,Has Species Taxonomy,nilotica
Gull-billed Tern,Has State Status,threatened
Gull-billed Tern,Has WAP15 ID,ncwap15-spp-gull-billed-tern
Gull-billed Tern,Is NC Present,NC
Gull-billed Tern,Is SGCN,true
Gull-billed Tern,Present Breeding,true
Gull-billed Tern,Was WAP Evaluated,true
Gull-billed Tern,Has Priority,NCWAP 2015 Monitoring Priority 370
Hairy Woodpecker,Has AOS4 Code,HAWO
Hairy Woodpecker,Has AOS59 Code,965
Hairy Woodpecker,Has AOS6 Code,DRYVIL
Hairy Woodpecker,Has AOS60 Code,13031
Hairy Woodpecker,Has Avibase Code,9D06AF89CDBCF27B
Hairy Woodpecker,Has Common Name,Hairy Woodpecker
Hairy Woodpecker,Has eBird Code,haiwoo
Hairy Woodpecker,Has Family,Picidae
Hairy Woodpecker,Has Genus,Dryobates
Hairy Woodpecker,Has Habitat,Cove Forests
Hairy Woodpecker,Has Habitat,Dry Coniferous Woodlands
Hairy Woodpecker,Has Habitat,Floodplains-Brownwater Systems
Hairy Woodpecker,Has Habitat,Floodplains-Brownwater Systems
Hairy Woodpecker,Has Habitat,Mesic Forests
Hairy Woodpecker,Has Habitat,Mesic Forests
Hairy Woodpecker,Has Habitat,Northern Hardwood Forests
Hairy Woodpecker,Has Habitat,Spruce-Fir Forest
Hairy Woodpecker,Has Habitat,Floodplains-Blackwater Systems
Hairy Woodpecker,Has Habitat,Floodplains-Inland Systems
Hairy Woodpecker,Has Habitat,Oak and Mixed Hardwood/Pine Forests and Managed Timber
Hairy Woodpecker,Has Order,Piciformes
Hairy Woodpecker,Has PIF Pop Est,8681068
Hairy Woodpecker,Has Plan,Partners In Flight Landbird Conservation Plan 2016
Hairy Woodpecker,Has Scientific Name,Dryobates villosus
Hairy Woodpecker,Has Species Taxonomy,villosus
Hairy Woodpecker,Has WAP15 ID,ncwap15-spp-hairy-woodpecker
Hairy Woodpecker,Is NC Present,NC
Hairy Woodpecker,Present Breeding,true
Hairy Woodpecker,Present Wintering,true
Hairy Woodpecker,Was WAP Evaluated,true
Henslow's Sparrow,Has AOS4 Code,HESP
Henslow's Sparrow,Has AOS59 Code,1845
Henslow's Sparrow,Has AOS6 Code,CENHEN
Henslow's Sparrow,Has AOS60 Code,13251
Henslow's Sparrow,Has Avibase Code,CDA2F827192CF0B3
Henslow's Sparrow,Has Common Name,Henslow's Sparrow
Henslow's Sparrow,Has eBird Code,henspa
Henslow's Sparrow,Has Family,Passerellidae
Henslow's Sparrow,Has Genus,Centronyx
Henslow's Sparrow,Has Geography,Bird Conservation Region 28
Henslow's Sparrow,Has Habitat,Dry Longleaf Pine Communities
Henslow's Sparrow,Has Habitat,Floodplains-Blackwater Systems
Henslow's Sparrow,Has Habitat,Successional Communities
Henslow's Sparrow,Has Habitat,Successional Communities
Henslow's Sparrow,Has Habitat,Successional Communities
Henslow's Sparrow,Has Habitat,Successional Communities
Henslow's Sparrow,Has Habitat,Wet Pine Savannas
Henslow's Sparrow,Has Order,Passeriformes
Henslow's Sparrow,Has PIF Pop Est,408187
Henslow's Sparrow,Has Plan,Golden-Winged Warbler Status Review And Conservation Plan 2012
Henslow's Sparrow,Has Plan,Golden-winged WarblerStatus Review And Conservation Plan 2012
Henslow's Sparrow,Has Plan,Partners In Flight Landbird Conservation Plan 2016
Henslow's Sparrow,Has Plan,South Atlantic Migratory Bird Initiative Implementation Plan 2008
Henslow's Sparrow,Has Plan,Status Assessment And Conservation Plan For The Henslow's Sparrow 2012
Henslow's Sparrow,Has Scientific Name,Centronyx henslowii
Henslow's Sparrow,Has Species Taxonomy,henslowii
Henslow's Sparrow,Has State Status,endangered
Henslow's Sparrow,Has WAP15 ID,ncwap15-spp-henslows-sparrow
Henslow's Sparrow,Is NC Present,NC
Henslow's Sparrow,Is SGCN,true
Henslow's Sparrow,Present Breeding,true
Henslow's Sparrow,Was WAP Evaluated,true
Henslow's Sparrow,Has Priority,NCWAP 2015 Monitoring Priority 121
Hermit Thrush,Has AOS4 Code,HETH
Hermit Thrush,Has AOS59 Code,1584
Hermit Thrush,Has AOS6 Code,CATGUT
Hermit Thrush,Has AOS60 Code,1454
Hermit Thrush,Has Avibase Code,B01E8BD42E1785F2
Hermit Thrush,Has Common Name,Hermit Thrush
Hermit Thrush,Has eBird Code,herthr
Hermit Thrush,Has Family,Turdidae
Hermit Thrush,Has Genus,Catharus
Hermit Thrush,Has Habitat,Maritime Forests
Hermit Thrush,Has Habitat,Mesic Forests
Hermit Thrush,Has Habitat,Montane Oak Forests
Hermit Thrush,Has Habitat,Nonalluvial Mineral Wetlands
Hermit Thrush,Has Habitat,Pocosins
Hermit Thrush,Has Habitat,Spruce-Fir Forest
Hermit Thrush,Has Habitat,Upland Pools and Depressions
Hermit Thrush,Has Habitat,Oak and Mixed Hardwood/Pine Forests and Managed Timber
Hermit Thrush,Has Order,Passeriformes
Hermit Thrush,Has PIF Pop Est,71726125
Hermit Thrush,Has Plan,Golden-Winged Warbler Status Review And Conservation Plan 2012
Hermit Thrush,Has Plan,Golden-winged WarblerStatus Review And Conservation Plan 2012
Hermit Thrush,Has Plan,Improving Habitat For Forest Thrushes 2003
Hermit Thrush,Has Plan,Partners In Flight Landbird Conservation Plan 2016
Hermit Thrush,Has Scientific Name,Catharus guttatus
Hermit Thrush,Has Species Taxonomy,guttatus
Hermit Thrush,Has WAP15 ID,ncwap15-spp-hermit-thrush
Hermit Thrush,Is NC Present,NC
Hermit Thrush,Is SGCN,true
Hermit Thrush,Is WAP Knowledge Concern,true
Hermit Thrush,Present Breeding,true
Hermit Thrush,Present Wintering,true
Hermit Thrush,Was WAP Evaluated,true
Herring Gull,Has AOS4 Code,HERG
Herring Gull,Has AOS59 Code,586
Herring Gull,Has AOS6 Code,LARARG
Herring Gull,Has AOS60 Code,467
Herring Gull,Has Avibase Code,C1DCCE4F8FA197AC
Herring Gull,Has Common Name,Herring Gull
Herring Gull,Has eBird Code,hergul
Herring Gull,Has Family,Laridae
Herring Gull,Has Genus,Larus
Herring Gull,Has Habitat,Estuarine Wetland Communities
Herring Gull,Has Habitat,Maritime Grasslands
Herring Gull,Has Habitat,"Sand, Shell, and Wrack Active Shoreline"
Herring Gull,Has Order,Charadriiformes
Herring Gull,Has PIF Pop Est,2891313
Herring Gull,Has Plan,Conservation Plan For The American Oystercatcher 2007
Herring Gull,Has Plan,North American Waterbird Conservation Plan 2002
Herring Gull,Has Plan,Red Knot Conservation Plan For The Western Hemisphere 2010
Herring Gull,Has Plan,South Atlantic Migratory Bird Initiative Implementation Plan 2008
Herring Gull,Has Scientific Name,Larus argentatus
Herring Gull,Has Species Taxonomy,argentatus
Herring Gull,Has WAP15 ID,ncwap15-spp-herring-gull
Herring Gull,Is NC Present,NC
Herring Gull,Is SGCN,true
Herring Gull,Is WAP Management Concern,true
Herring Gull,Present Breeding,true
Herring Gull,Present Wintering,true
Herring Gull,Was WAP Evaluated,true
Herring Gull,Has Habitat,Estuarine Aquatic Communities
Herring Gull,Has Habitat,Natural Lakes
Herring Gull,Has Habitat,Reservoirs and Impoundments
Hooded Merganser,Has AOS4 Code,HOME
Hooded Merganser,Has AOS59 Code,76
Hooded Merganser,Has AOS6 Code,LOPCUC
Hooded Merganser,Has AOS60 Code,71
Hooded Merganser,Has Avibase Code,60E6081E3DF8CFA4
Hooded Merganser,Has Common Name,Hooded Merganser
Hooded Merganser,Has eBird Code,hoomer
Hooded Merganser,Has Family,Anatidae
Hooded Merganser,Has Genus,Lophodytes
Hooded Merganser,Has Habitat,Nonalluvial Mineral Wetlands
Hooded Merganser,Has Habitat,Freshwater Tidal Wetlands
Hooded Merganser,Has Order,Anseriformes
Hooded Merganser,Has PIF Pop Est,485000
Hooded Merganser,Has Scientific Name,Lophodytes cucullatus
Hooded Merganser,Has Species Taxonomy,cucullatus
Hooded Merganser,Has WAP15 ID,ncwap15-spp-hooded-merganser
Hooded Merganser,Is NC Present,NC
Hooded Merganser,Is WAP Management Concern,true
Hooded Merganser,Present Breeding,true
Hooded Merganser,Present Wintering,true
Hooded Merganser,Was WAP Evaluated,true
Hooded Merganser,Has Habitat,Large River Systems
Hooded Merganser,Has Habitat,Medium River Systems
Hooded Merganser,Has Habitat,Natural Lakes
Hooded Merganser,Has Habitat,Reservoirs and Impoundments
Hooded Merganser,Has Habitat,Small River Systems/Large Creeks
Hooded Merganser,Has Habitat,Stream Swamps
Hooded Warbler,Has AOS4 Code,HOWA
Hooded Warbler,Has AOS59 Code,1982
Hooded Warbler,Has AOS6 Code,SETCIT
Hooded Warbler,Has AOS60 Code,1600
Hooded Warbler,Has Avibase Code,15EB30007E1908FD
Hooded Warbler,Has Common Name,Hooded Warbler
Hooded Warbler,Has eBird Code,hoowar
Hooded Warbler,Has Family,Parulidae
Hooded Warbler,Has Genus,Setophaga
Hooded Warbler,Has Habitat,Cove Forests
Hooded Warbler,Has Habitat,Floodplains-Blackwater Systems
Hooded Warbler,Has Habitat,Floodplains-Brownwater Systems
Hooded Warbler,Has Habitat,Mesic Forests
Hooded Warbler,Has Habitat,Mesic Forests
Hooded Warbler,Has Habitat,Upland Pools and Depressions
Hooded Warbler,Has Habitat,Upland Seepages and Spray Cliffs
Hooded Warbler,Has Habitat,Floodplains-Inland Systems
Hooded Warbler,Has Habitat,Nonalluvial Mineral Wetlands
Hooded Warbler,Has Habitat,Pocosins
Hooded Warbler,Has Habitat,Oak and Mixed Hardwood/Pine Forests and Managed Timber
Hooded Warbler,Has Order,Passeriformes
Hooded Warbler,Has PIF Pop Est,5185197
Hooded Warbler,Has Plan,Golden-Winged Warbler Status Review And Conservation Plan 2012
Hooded Warbler,Has Plan,Golden-winged WarblerStatus Review And Conservation Plan 2012
Hooded Warbler,Has Plan,Partners In Flight Landbird Conservation Plan 2016
Hooded Warbler,Has Plan,South Atlantic Migratory Bird Initiative Implementation Plan 2008
Hooded Warbler,Has Scientific Name,Setophaga citrina
Hooded Warbler,Has Species Taxonomy,citrina
Hooded Warbler,Has WAP15 ID,ncwap15-spp-hooded-warbler
Hooded Warbler,Is NC Present,NC
Hooded Warbler,Present Breeding,true
Hooded Warbler,Was WAP Evaluated,true
Hooded Warbler,Has Priority,NCWAP 2015 Surveys Priority 179
Horned Grebe,Has AOS4 Code,HOGR
Horned Grebe,Has AOS59 Code,143
Horned Grebe,Has AOS6 Code,PODAUR
Horned Grebe,Has AOS60 Code,1986
Horned Grebe,Has Avibase Code,018B316959E84738
Horned Grebe,Has Common Name,Horned Grebe
Horned Grebe,Has eBird Code,horgre
Horned Grebe,Has Family,Podicipedidae
Horned Grebe,Has Genus,Podiceps
Horned Grebe,Has Order,Podicipediformes
Horned Grebe,Has PIF Pop Est,246553
Horned Grebe,Has Plan,North American Waterbird Conservation Plan 2002
Horned Grebe,Has Plan,South Atlantic Migratory Bird Initiative Implementation Plan 2008
Horned Grebe,Has Scientific Name,Podiceps auritus
Horned Grebe,Has Species Taxonomy,auritus
Horned Grebe,Has WAP15 ID,ncwap15-spp-horned-grebe
Horned Grebe,Is NC Present,NC
Horned Grebe,Is WAP Knowledge Concern,true
Horned Grebe,Present Wintering,true
Horned Grebe,Was WAP Evaluated,true
Horned Grebe,Has Plan,Understanding Declines In The Rusty Blackbird - An Indicator Of Wooded Wetland Health 2005
Horned Grebe,Has Habitat,Estuarine Aquatic Communities
Horned Lark,Has AOS4 Code,HOLA
Horned Lark,Has AOS59 Code,1412
Horned Lark,Has AOS6 Code,EREALP
Horned Lark,Has AOS60 Code,1310
Horned Lark,Has Avibase Code,FC0A1D951186B019
Horned Lark,Has Common Name,Horned Lark
Horned Lark,Has eBird Code,horlar
Horned Lark,Has Family,Alaudidae
Horned Lark,Has Genus,Eremophila
Horned Lark,Has Habitat,Successional Communities
Horned Lark,Has Order,Passeriformes
Horned Lark,Has PIF Half Life,40
Horned Lark,Has PIF Pop Est,100607831
Horned Lark,Has Plan,Partners In Flight Landbird Conservation Plan 2016
Horned Lark,Has Plan,Status Assessment And Conservation For The Grasshopper Sparrow 2015
Horned Lark,Has Scientific Name,Eremophila alpestris
Horned Lark,Has Species Taxonomy,alpestris
Horned Lark,Has WAP15 ID,ncwap15-spp-horned-lark
Horned Lark,Is NC Present,NC
Horned Lark,Present Breeding,true
Horned Lark,Present Wintering,true
Horned Lark,Was WAP Evaluated,true
House Wren,Has AOS4 Code,HOWR
House Wren,Has AOS59 Code,1461
House Wren,Has AOS6 Code,TROAED
House Wren,Has AOS60 Code,1384
House Wren,Has Avibase Code,A381417FEA4045E3
House Wren,Has Common Name,House Wren
House Wren,Has eBird Code,houwre
House Wren,Has Family,Troglodytidae
House Wren,Has Genus,Troglodytes
House Wren,Has Order,Passeriformes
House Wren,Has PIF Pop Est,43318358
House Wren,Has Plan,Partners In Flight Landbird Conservation Plan 2016
House Wren,Has Scientific Name,Troglodytes aedon
House Wren,Has Species Taxonomy,aedon
House Wren,Has WAP15 ID,ncwap15-spp-house-wren
House Wren,Is NC Present,NC
House Wren,Present Breeding,true
House Wren,Present Wintering,true
House Wren,Was WAP Evaluated,true
Indigo Bunting,Has AOS4 Code,INBU
Indigo Bunting,Has AOS59 Code,2060
Indigo Bunting,Has AOS6 Code,PASCYA
Indigo Bunting,Has AOS60 Code,1765
Indigo Bunting,Has Avibase Code,043F337AA25E7D97
Indigo Bunting,Has Common Name,Indigo Bunting
Indigo Bunting,Has eBird Code,indbun
Indigo Bunting,Has Family,Cardinalidae
Indigo Bunting,Has Genus,Passerina
Indigo Bunting,Has Habitat,Estuarine Wetland Communities
Indigo Bunting,Has Habitat,Successional Communities
Indigo Bunting,Has Habitat,Successional Communities
Indigo Bunting,Has Habitat,Successional Communities
Indigo Bunting,Has Order,Passeriformes
Indigo Bunting,Has PIF Half Life,78
Indigo Bunting,Has PIF Pop Est,77494167
Indigo Bunting,Has Plan,Golden-Winged Warbler Status Review And Conservation Plan 2012
Indigo Bunting,Has Plan,Golden-winged WarblerStatus Review And Conservation Plan 2012
Indigo Bunting,Has Plan,Partners In Flight Landbird Conservation Plan 2016
Indigo Bunting,Has Plan,South Atlantic Migratory Bird Initiative Implementation Plan 2008
Indigo Bunting,Has Scientific Name,Passerina cyanea
Indigo Bunting,Has Species Taxonomy,cyanea
Indigo Bunting,Has WAP15 ID,ncwap15-spp-indigo-bunting
Indigo Bunting,Is NC Present,NC
Indigo Bunting,Present Breeding,true
Indigo Bunting,Was WAP Evaluated,true
Indigo Bunting,Has Priority,NCWAP 2015 Research Priority 347
Ivory-billed Woodpecker,Has AOS4 Code,IBWO
Ivory-billed Woodpecker,Has AOS59 Code,987
Ivory-billed Woodpecker,Has AOS6 Code,CAMPRI
Ivory-billed Woodpecker,Has AOS60 Code,989
Ivory-billed Woodpecker,Has Avibase Code,86E7578ADB6314A4
Ivory-billed Woodpecker,Has Common Name,Ivory-billed Woodpecker
Ivory-billed Woodpecker,Has eBird Code,ivbwoo
Ivory-billed Woodpecker,Has Family,Picidae
Ivory-billed Woodpecker,Has Federal Status,endangered
Ivory-billed Woodpecker,Has Genus,Campephilus
Ivory-billed Woodpecker,Has Order,Piciformes
Ivory-billed Woodpecker,Has Plan,Partners In Flight Landbird Conservation Plan 2016
Ivory-billed Woodpecker,Has Plan,South Atlantic Migratory Bird Initiative Implementation Plan 2008
Ivory-billed Woodpecker,Has Scientific Name,Campephilus principalis
Ivory-billed Woodpecker,Has Species Taxonomy,principalis
Ivory-billed Woodpecker,Has State Status,endangered
Ivory-billed Woodpecker,Has WAP15 ID,ncwap15-spp-ivory-billed-woodpecker
Ivory-billed Woodpecker,Is NC Present,NC
Kentucky Warbler,Has AOS4 Code,KEWA
Kentucky Warbler,Has AOS59 Code,1970
Kentucky Warbler,Has AOS6 Code,GEOFOR
Kentucky Warbler,Has AOS60 Code,1583
Kentucky Warbler,Has Avibase Code,8C105C3C647C7E36
Kentucky Warbler,Has Common Name,Kentucky Warbler
Kentucky Warbler,Has eBird Code,kenwar
Kentucky Warbler,Has Family,Parulidae
Kentucky Warbler,Has Genus,Geothlypis
Kentucky Warbler,Has Habitat,Floodplains-Blackwater Systems
Kentucky Warbler,Has Habitat,Floodplains-Brownwater Systems
Kentucky Warbler,Has Habitat,Mesic Forests
Kentucky Warbler,Has Habitat,Mesic Forests
Kentucky Warbler,Has Habitat,Montane Oak Forests
Kentucky Warbler,Has Habitat,Upland Pools and Depressions
Kentucky Warbler,Has Habitat,Upland Pools and Depressions
Kentucky Warbler,Has Habitat,Floodplains-Inland Systems
Kentucky Warbler,Has Habitat,Nonalluvial Mineral Wetlands
Kentucky Warbler,Has Habitat,Oak and Mixed Hardwood/Pine Forests and Managed Timber
Kentucky Warbler,Has Order,Passeriformes
Kentucky Warbler,Has PIF Half Life,82
Kentucky Warbler,Has PIF Pop Est,2595606
Kentucky Warbler,Has Plan,Partners In Flight Landbird Conservation Plan 2016
Kentucky Warbler,Has Plan,South Atlantic Migratory Bird Initiative Implementation Plan 2008
Kentucky Warbler,Has Scientific Name,Geothlypis formosa
Kentucky Warbler,Has Species Taxonomy,formosa
Kentucky Warbler,Has WAP15 ID,ncwap15-spp-kentucky-warbler
Kentucky Warbler,Is NC Present,NC
Kentucky Warbler,Is SGCN,true
Kentucky Warbler,Present Breeding,true
Kentucky Warbler,Was WAP Evaluated,true
Kentucky Warbler,Has Habitat,Small River Systems/Large Creeks
Kentucky Warbler,Has Priority,NCWAP 2015 Surveys Priority 179
Killdeer,Has AOS4 Code,KILL
Killdeer,Has AOS59 Code,463
Killdeer,Has AOS6 Code,CHAVOC
Killdeer,Has AOS60 Code,384
Killdeer,Has Avibase Code,BCF9A19AFE372627
Killdeer,Has Common Name,Killdeer
Killdeer,Has eBird Code,killde
Killdeer,Has Family,Charadriidae
Killdeer,Has Genus,Charadrius
Killdeer,Has Habitat,"Sand, Shell, and Wrack Active Shoreline"
Killdeer,Has Order,Charadriiformes
Killdeer,Has PIF Pop Est,2000000
Killdeer,Has Plan,Conservation Plan For Dunlin With Breeding Populations In North America 2008
Killdeer,Has Plan,South Atlantic Migratory Bird Initiative Implementation Plan 2008
Killdeer,Has Plan,Status Assessment And Conservation Plan For The Henslow's Sparrow 2012
Killdeer,Has Plan,Status Review And Conservation Recommendations For The Gull-Billed Tern In North America 2010
Killdeer,Has Scientific Name,Charadrius vociferus
Killdeer,Has Species Taxonomy,vociferus
Killdeer,Has WAP15 ID,ncwap15-spp-killdeer
Killdeer,Is NC Present,NC
Killdeer,Present Breeding,true
Killdeer,Present Wintering,true
Killdeer,Was WAP Evaluated,true
Killdeer,Has Habitat,Reservoirs and Impoundments
King Rail,Has AOS4 Code,KIRA
King Rail,Has AOS59 Code,412
King Rail,Has AOS6 Code,RALELE
King Rail,Has AOS60 Code,341
King Rail,Has Avibase Code,0BB84341D8AE9B6E
King Rail,Has Common Name,King Rail
King Rail,Has eBird Code,kinrai4
King Rail,Has Family,Rallidae
King Rail,Has Genus,Rallus
King Rail,Has Habitat,Estuarine Wetland Communities
King Rail,Has Habitat,Maritime Forests
King Rail,Has Habitat,Successional Communities
King Rail,Has Habitat,Successional Communities
King Rail,Has Habitat,Successional Communities
King Rail,Has Habitat,Successional Communities
King Rail,Has Habitat,Freshwater Tidal Wetlands
King Rail,Has Order,Gruiformes
King Rail,Has PIF Pop Est,63219
King Rail,Has Plan,North American Waterbird Conservation Plan 2002
King Rail,Has Plan,South Atlantic Migratory Bird Initiative Implementation Plan 2008
King Rail,Has Scientific Name,Rallus elegans
King Rail,Has Species Taxonomy,elegans
King Rail,Has WAP15 ID,ncwap15-spp-king-rail
King Rail,Is NC Present,NC
King Rail,Is SGCN,true
King Rail,Is WAP Knowledge Concern,true
King Rail,Present Breeding,true
King Rail,Present Wintering,true
King Rail,Was WAP Evaluated,true
King Rail,Has Habitat,Stream Swamps
King Rail,Has Priority,NCWAP 2015 Research Priority 158
Kirtland's Warbler,Has AOS4 Code,KIWA
Kirtland's Warbler,Has AOS59 Code,1984
Kirtland's Warbler,Has AOS6 Code,SETKIR
Kirtland's Warbler,Has AOS60 Code,1564
Kirtland's Warbler,Has Avibase Code,B9A2B7CCE43D3D57
Kirtland's Warbler,Has Common Name,Kirtland's Warbler
Kirtland's Warbler,Has eBird Code,kirwar
Kirtland's Warbler,Has Family,Parulidae
Kirtland's Warbler,Has Federal Status,endangered
Kirtland's Warbler,Has Genus,Setophaga
Kirtland's Warbler,Has Order,Passeriformes
Kirtland's Warbler,Has Plan,Golden-Winged Warbler Status Review And Conservation Plan 2012
Kirtland's Warbler,Has Plan,Golden-winged WarblerStatus Review And Conservation Plan 2012
Kirtland's Warbler,Has Plan,Partners In Flight Landbird Conservation Plan 2016
Kirtland's Warbler,Has Plan,South Atlantic Migratory Bird Initiative Implementation Plan 2008
Kirtland's Warbler,Has Scientific Name,Setophaga kirtlandii
Kirtland's Warbler,Has Species Taxonomy,kirtlandii
Kirtland's Warbler,Has State Status,endangered
Kirtland's Warbler,Has WAP15 ID,ncwap15-spp-kirtlands-warbler
Kirtland's Warbler,Is NC Present,NC
Kirtland's Warbler,Present Wintering,true
Lark Sparrow,Has AOS4 Code,LASP
Lark Sparrow,Has AOS59 Code,1836
Lark Sparrow,Has AOS6 Code,CHOGRA
Lark Sparrow,Has AOS60 Code,1711
Lark Sparrow,Has Avibase Code,78509A5D6015C509
Lark Sparrow,Has Common Name,Lark Sparrow
Lark Sparrow,Has eBird Code,larspa
Lark Sparrow,Has Family,Passerellidae
Lark Sparrow,Has Genus,Chondestes
Lark Sparrow,Has Order,Passeriformes
